observation_id,pwsid,contaminant_code,contaminant_label,sample_context,period_start,period_end,sample_date,value,unit,result_flag,minimum_reporting_level,benchmark_id,source_ids
phila-baxter-pfoa-raa,PA1510001,PFOA,Perfluorooctanoic acid,baxter_running_annual_average,,,,0,ppt,counted_as_zero_under_regulatory_rule,,pa_pfoa_mcl_2023,phila-pfas-management|pa-pfas-mcl-rule
phila-baxter-pfos-raa,PA1510001,PFOS,Perfluorooctane sulfonate,baxter_running_annual_average,,,,0,ppt,counted_as_zero_under_regulatory_rule,,pa_pfos_mcl_2023,phila-pfas-management|pa-pfas-mcl-rule
phila-belmont-pfoa-raa,PA1510001,PFOA,Perfluorooctanoic acid,belmont_running_annual_average,,,,5.6,ppt,reported,,pa_pfoa_mcl_2023,phila-pfas-management|pa-pfas-mcl-rule
phila-belmont-pfos-raa,PA1510001,PFOS,Perfluorooctane sulfonate,belmont_running_annual_average,,,,2.4,ppt,reported,,pa_pfos_mcl_2023,phila-pfas-management|pa-pfas-mcl-rule
phila-queenlane-pfoa-raa,PA1510001,PFOA,Perfluorooctanoic acid,queen_lane_running_annual_average,,,,6.8,ppt,reported,,pa_pfoa_mcl_2023,phila-pfas-management|pa-pfas-mcl-rule
phila-queenlane-pfos-raa,PA1510001,PFOS,Perfluorooctane sulfonate,queen_lane_running_annual_average,,,,4.6,ppt,reported,,pa_pfos_mcl_2023,phila-pfas-management|pa-pfas-mcl-rule
lancaster-conestoga-pfoa-raa-2025q3,7360058,PFOA,Perfluorooctanoic acid,conestoga_running_annual_average_2025_q3,2024-10-01,2025-07-11,2025-07-11,15,ppt,reported,,pa_pfoa_mcl_2023,lancaster-pfoa-notice-2025|pa-pfas-mcl-rule
lancaster-susquehanna-pfoa-2025q3,7360058,PFOA,Perfluorooctanoic acid,susquehanna_finished_water_2025_q3,2025-07-11,2025-07-11,2025-07-11,0,ppt,not_detected,,pa_pfoa_mcl_2023,lancaster-pfoa-notice-2025|pa-pfas-mcl-rule
