product_id,upfront_cost_usd,replacement_cost_usd,membrane_cost_usd,service_cost_usd,replacement_cadence_months,price_observed_at,price_source_url,cost_confidence,source_ids
espring-122941,1299.00,280.00,,,12,2026-03-19,https://www.amway.com/en_US/eSpring-Under-the-Counter-with-Aux-Faucet-p-122941|https://www.amway.com/en_US/eSpring%E2%84%A2-UV-Water-Purifier-Replacement-Filter-Cartridge-With-UV-Technology-p-100186,high,amway-espring-122941-product|amway-espring-100186-cartridge
aquasana-aq-6200,162.49,73.99,,,6,2026-03-20,https://www.aquasana.com/under-sink-water-filters/claryum-2-stage/chrome-100236320.html|https://www.aquasana.com/water-filter-replacements/under-sink-water-filter-replacements/claryum-2-stage-filter-replacements-100236330.html,medium,aq-claryum-2-stage-product|aq-claryum-2-stage-replacement
aquasana-aq-6300m,224.99,91.99,,,6,2026-03-20,https://www.aquasana.com/under-sink-water-filters/claryum-3-stage-max-flow-AQ_6300M_M.html|https://www.aquasana.com/water-filter-replacements/under-sink-water-filter-replacements/claryum-3-stage-max-flow-filter-replacements-100236367.html,medium,aq-claryum-3-stage-max-flow-product|aq-claryum-3-stage-max-flow-replacement
aquasana-aq-mf-1,124.99,78.19,,,6,2026-03-19,https://www.aquasana.com/under-sink-water-filters/claryum-direct-connect-100329886.html|https://www.aquasana.com/water-filter-replacements/under-sink-water-filter-replacements/claryum-direct-connect-replacement-cartridge-100329887.html,medium,aq-claryum-direct-connect-product|aq-claryum-direct-connect-replacement
